URL_length,parameter_maxlen,digit_percentage,letter_percentage,parameter_number,XSS_count,evil_char_count,char_0,char_1,char_2,char_4,char_5,char_6,char_8,char_9,char_10,char_11,char_12,char_13,char_14,char_15,char_16,char_17,char_18,char_19,char_20,word_4,word_7,label
71,63,0.0,0.71831,1,6,20,2,2,2,4,2,2,1,4,1,4,6,1,5,1,1,2,2,1,1,1,0,1
62,54,0.0,0.66129,1,3,21,2,2,2,1,2,4,1,4,1,4,6,1,5,1,1,2,2,1,1,1,0,1
50,30,0.0,0.72,1,3,14,4,1,1,1,1,1,1,1,1,4,6,1,5,1,1,2,2,1,1,1,0,1
53,41,0.0,0.716981,1,5,15,4,1,1,1,1,1,1,1,1,4,6,1,5,1,1,2,2,1,1,1,0,1
71,56,0.0,0.732394,1,4,19,6,1,1,2,1,1,1,1,2,4,6,1,5,1,1,2,2,1,1,1,0,1
57,41,0.0,0.736842,1,4,15,4,1,1,1,1,1,1,1,1,4,6,1,5,1,1,2,2,1,1,1,0,1
34,0,0.0,0.647059,0,1,12,2,1,2,1,2,1,1,1,1,4,6,1,5,1,1,2,2,1,1,1,0,1
44,0,0.0,0.636364,0,3,16,2,1,1,2,1,1,2,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
72,59,0.0,0.736111,1,4,19,6,1,1,2,1,1,1,1,2,1,1,1,5,1,1,2,2,1,1,1,0,1
54,39,0.0,0.722222,1,4,15,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
53,41,0.0,0.716981,1,4,15,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
64,44,0.0,0.6875,1,5,20,4,3,3,1,1,1,2,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
85,40,0.011765,0.729412,2,4,22,6,1,1,3,1,1,1,1,2,1,1,1,5,1,1,2,2,1,1,1,0,1
46,30,0.0,0.695652,1,2,14,4,1,1,1,1,1,1,1,2,1,1,1,5,1,1,2,2,1,1,1,0,1
79,63,0.0,0.734177,1,4,21,4,1,1,1,2,2,2,1,2,1,1,1,5,1,1,2,2,1,1,1,0,1
45,31,0.0,0.666667,1,1,15,2,1,1,1,1,1,1,1,4,1,1,1,5,1,1,2,2,1,1,1,0,1
43,29,0.0,0.651163,1,1,15,2,1,1,1,1,1,1,1,4,1,1,1,5,1,1,2,2,1,1,1,0,1
64,48,0.0,0.703125,1,3,19,4,1,1,1,2,2,1,1,2,1,1,1,5,1,1,2,2,1,1,1,0,1
68,47,0.0,0.735294,1,3,18,4,2,2,1,1,1,2,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
81,62,0.0,0.716049,1,3,23,6,1,1,2,1,1,2,4,2,1,1,1,5,1,1,2,2,1,1,1,0,1
71,0,0.0,0.619718,0,4,27,2,5,5,1,1,1,6,1,2,1,1,1,5,1,1,2,2,1,1,1,0,1
68,0,0.0,0.573529,0,4,29,2,4,4,2,1,2,1,1,6,1,1,1,5,1,1,2,2,1,1,1,0,1
48,0,0.0,0.708333,0,4,14,2,3,2,1,1,1,1,1,6,1,1,1,5,1,1,2,2,1,1,1,0,1
60,48,0.0,0.716667,1,4,17,6,1,1,2,1,1,1,1,6,1,1,1,5,1,1,2,2,1,1,1,0,1
62,50,0.0,0.693548,1,4,19,6,1,2,2,1,1,1,2,6,1,1,1,5,1,1,2,2,1,1,1,0,1
56,43,0.0,0.678571,1,3,18,6,2,2,1,3,3,1,2,6,1,1,1,5,1,1,2,2,1,1,1,0,1
52,41,0.0,0.711538,1,4,15,4,1,1,1,1,1,2,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
56,41,0.0,0.732143,1,5,15,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
48,0,0.0,0.708333,0,4,14,2,2,2,1,1,1,2,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
48,36,0.0,0.6875,1,3,15,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
53,29,0.0,0.660377,1,1,18,2,1,1,1,2,2,1,1,5,1,1,1,5,1,1,2,2,1,1,1,0,1
69,0,0.0,0.492754,0,4,35,2,4,4,2,1,1,14,1,4,1,1,1,5,1,1,2,2,1,1,1,0,1
53,41,0.0,0.716981,1,4,15,4,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
80,47,0.0,0.5875,1,4,33,4,8,8,2,1,1,2,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
73,0,0.027397,0.60274,0,3,27,2,2,8,1,4,4,1,2,1,1,1,1,5,1,1,2,2,1,1,1,0,1
9,0,0.0,0.666667,0,2,3,1,2,8,1,4,4,1,2,1,1,1,1,5,1,1,2,2,1,1,1,0,1
30,0,0.0,0.7,0,4,9,2,2,2,1,1,4,1,2,1,1,1,1,5,1,1,2,2,1,1,1,0,1
35,0,0.0,0.6,0,4,14,2,4,2,1,1,1,1,2,1,1,1,1,5,1,1,2,2,1,1,1,0,1
39,0,0.0,0.794872,0,6,8,2,2,1,1,1,1,1,2,1,1,1,1,5,1,1,2,2,1,1,1,0,1
41,0,0.0,0.756098,0,6,10,1,2,3,1,1,1,1,2,1,1,1,1,5,1,1,2,2,1,1,1,0,1
42,0,0.0,0.738095,0,6,11,1,2,3,1,1,1,1,2,1,1,1,1,5,1,1,2,2,1,1,1,0,1
31,0,0.0,0.677419,0,4,10,2,2,2,1,1,1,1,2,1,1,1,1,5,1,1,2,2,1,1,1,0,1
40,0,0.0,0.775,0,6,9,2,2,1,1,1,1,1,2,1,1,1,1,5,1,1,2,2,1,1,1,0,1
31,0,0.0,0.645161,0,4,11,2,2,2,1,1,1,1,2,1,1,1,1,5,1,1,2,2,1,1,1,0,1
40,0,0.0,0.775,0,6,9,2,2,1,1,1,1,1,2,1,1,1,1,5,1,1,2,2,1,1,1,0,1
44,0,0.0,0.818182,0,8,8,2,2,1,1,1,1,1,2,1,1,1,1,5,1,1,2,2,1,1,2,0,1
48,0,0.0,0.708333,0,4,14,2,4,4,1,1,1,1,2,1,1,1,1,5,1,1,2,2,1,1,2,0,1
45,36,0.0,0.777778,1,7,10,2,1,1,1,1,1,1,2,1,1,1,1,5,1,1,2,2,1,1,1,0,1
37,25,0.0,0.675676,1,5,12,2,2,1,1,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
35,26,0.0,0.714286,1,5,10,2,2,1,1,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
34,25,0.0,0.735294,1,5,9,2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
34,25,0.0,0.735294,1,5,9,2,1,1,1,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
38,29,0.0,0.657895,1,5,11,2,2,1,1,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
41,0,0.0,0.585366,0,5,17,6,3,4,1,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
57,48,0.105263,0.684211,1,6,12,1,1,2,2,2,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
16,7,0.0,0.75,1,2,4,1,1,1,2,2,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
13,4,0.0,0.692308,1,2,4,1,1,1,2,2,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
41,29,0.0,0.609756,1,4,16,2,2,1,1,1,1,1,5,1,1,1,1,5,1,1,2,2,1,1,1,0,1
40,28,0.025,0.625,1,4,13,2,2,1,1,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,1,0,1
39,27,0.0,0.641026,1,5,14,2,2,1,1,1,1,1,3,1,1,1,1,5,1,1,2,2,1,1,1,0,1
39,27,0.0,0.717949,1,5,11,2,2,1,1,1,1,1,3,1,1,1,1,5,1,1,2,2,1,1,1,0,1
39,27,0.0,0.717949,1,5,11,2,2,1,1,1,1,1,3,1,1,1,1,5,1,1,2,2,1,1,1,0,1
46,37,0.0,0.76087,1,5,10,2,1,1,1,1,1,1,3,1,1,1,1,5,1,1,2,2,1,1,1,0,1
33,24,0.0,0.727273,1,5,9,2,1,1,1,1,1,1,3,1,1,1,1,5,1,1,2,2,1,1,1,0,1
33,24,0.0,0.727273,1,5,9,2,1,1,1,1,1,1,3,1,1,1,1,5,1,1,2,2,1,1,1,0,1
33,24,0.0,0.727273,1,5,9,2,1,1,1,1,1,1,3,1,1,1,1,5,1,1,2,2,1,1,1,0,1
50,33,0.08,0.66,1,6,13,1,2,2,1,1,1,1,1,1,1,1,1,5,1,1,2,2,1,1,2,0,1
448,170,0.073661,0.629464,1,33,130,8,1,8,4,13,2,20,2,2,5,4,11,11,6,2,2,2,13,1,5,2,1
139,93,0.014388,0.482014,1,7,64,1,1,5,6,25,1,3,3,9,3,1,2,11,6,2,2,2,13,1,1,2,1
207,166,0.024155,0.666667,1,23,60,2,1,11,4,13,2,4,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
38,26,0.0,0.710526,1,5,11,2,2,1,1,1,1,1,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
55,43,0.0,0.781818,1,4,12,2,1,1,2,2,1,1,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
35,26,0.0,0.685714,1,5,11,2,2,1,1,1,1,1,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
51,34,0.0,0.745098,1,6,13,2,2,2,1,1,1,1,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
44,23,0.0,0.704545,1,3,13,2,1,1,2,2,1,1,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
42,24,0.0,0.714286,1,3,12,2,2,1,1,1,1,1,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
26,0,0.038462,0.653846,0,4,8,2,2,1,1,1,1,1,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
30,0,0.0,0.666667,0,4,10,2,2,2,1,1,1,1,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
65,53,0.0,0.753846,1,6,16,2,2,2,1,1,3,1,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
101,79,0.0,0.772277,1,10,23,2,2,2,3,2,1,1,5,2,2,2,2,11,6,2,2,2,13,1,1,1,1
47,0,0.0,0.680851,0,4,15,2,4,4,1,1,1,1,5,2,2,2,2,11,6,2,2,2,13,1,1,1,1
53,0,0.113208,0.660377,0,5,12,2,2,2,2,2,1,1,5,2,2,2,2,11,6,2,2,2,13,1,1,1,1
42,33,0.0,0.690476,1,4,13,1,1,3,1,1,1,1,5,2,2,2,2,11,6,2,2,2,13,1,1,1,1
48,0,0.0,0.708333,0,3,14,2,2,2,1,1,1,1,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
54,0,0.0,0.518519,0,2,26,4,2,3,1,2,2,3,3,2,2,2,2,11,6,2,2,2,13,1,1,1,1
48,0,0.0,0.708333,0,4,14,2,4,4,1,1,2,3,3,2,2,2,2,11,6,2,2,2,13,1,1,1,1
37,25,0.0,0.648649,1,4,12,2,2,1,1,1,1,1,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
37,25,0.0,0.648649,1,4,12,2,2,1,1,1,1,1,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
35,25,0.0,0.685714,1,4,10,2,1,1,1,1,1,1,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
28,13,0.0,0.642857,1,2,10,2,2,1,1,1,1,1,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
57,50,0.0,0.719298,1,2,16,3,2,1,2,2,1,2,1,2,2,2,2,11,6,2,2,2,13,1,1,1,1
69,50,0.043478,0.57971,1,6,25,1,3,4,3,1,1,2,2,2,3,2,2,11,6,2,2,2,13,1,1,1,1
52,40,0.038462,0.596154,1,4,19,3,1,1,1,4,3,2,1,1,3,2,2,11,6,2,2,2,13,1,1,1,1
42,0,0.142857,0.547619,0,2,13,1,1,1,1,2,4,2,1,1,3,2,2,11,6,2,2,2,13,1,1,1,1
57,22,0.035088,0.631579,1,4,19,2,3,3,2,1,2,3,1,1,3,2,2,11,6,2,2,2,13,1,1,1,1
126,0,0.079365,0.587302,0,9,40,4,8,12,4,3,3,1,1,1,3,2,2,11,6,2,2,2,13,1,1,1,1
35,0,0.057143,0.542857,0,0,14,1,1,4,2,3,3,1,1,1,3,2,2,11,6,2,2,2,13,1,1,1,1
68,23,0.014706,0.705882,2,4,19,2,4,1,2,3,1,1,1,2,3,2,2,11,6,2,2,2,13,1,1,1,1
81,23,0.012346,0.679012,3,5,25,2,4,1,2,3,4,1,1,2,3,2,2,11,6,2,2,2,13,1,1,1,1
40,2,0.025,0.65,1,7,13,2,2,1,1,1,1,1,1,2,3,2,2,11,6,2,2,2,13,1,1,1,1
78,66,0.0,0.717949,1,3,22,2,4,2,2,1,2,2,1,1,1,2,2,11,6,2,2,2,13,1,1,1,1
36,33,0.0,0.555556,1,4,16,2,2,3,1,2,1,1,1,1,1,2,2,11,6,2,2,2,13,1,1,1,1
34,25,0.0,0.676471,1,3,11,2,2,1,1,1,1,1,1,1,1,2,2,11,6,2,2,2,13,1,1,1,1
36,27,0.0,0.722222,1,4,10,1,1,1,1,1,1,1,1,1,1,2,2,11,6,2,2,2,13,1,1,1,1
59,24,0.0,0.711864,1,4,17,2,2,3,1,1,1,1,1,1,1,2,2,11,6,2,2,2,13,1,1,1,1
80,0,0.0,0.675,0,3,26,2,2,4,1,1,2,2,2,1,1,2,2,11,6,2,2,2,13,1,1,1,1
60,0,0.033333,0.55,0,1,25,2,4,2,4,1,1,1,1,5,1,2,2,11,6,2,2,2,13,1,1,1,1
61,28,0.016393,0.606557,1,4,23,2,4,1,2,1,1,1,1,1,6,2,2,11,6,2,2,2,13,1,1,1,1
27,1,0.0,0.518519,1,1,13,2,2,1,1,1,1,1,1,1,6,2,2,11,6,2,2,2,13,1,1,1,1
37,0,0.027027,0.783784,0,3,7,2,2,1,1,1,1,1,1,1,6,2,2,11,6,2,2,2,13,1,1,1,1
33,22,0.0,0.69697,1,2,10,1,1,1,2,2,1,1,1,1,6,2,2,11,6,2,2,2,13,1,1,1,1
34,0,0.029412,0.676471,0,5,10,3,3,2,1,2,1,1,1,1,6,2,2,11,6,2,2,2,13,1,1,1,1
39,0,0.0,0.717949,0,4,11,2,2,2,1,1,1,1,1,1,6,2,2,11,6,2,2,2,13,1,1,1,1
59,13,0.0,0.559322,4,4,26,2,8,1,4,2,2,1,1,1,6,2,2,11,6,2,2,2,13,1,1,1,1
32,31,0.0,0.625,1,4,12,1,2,2,1,1,1,1,1,1,6,2,2,11,6,2,2,2,13,1,1,1,1
50,34,0.02,0.74,1,1,11,2,1,1,1,1,1,1,1,1,6,2,2,11,6,2,2,2,13,1,1,1,1
58,49,0.068966,0.551724,1,5,22,4,2,3,4,3,2,2,1,1,6,2,2,11,6,2,2,2,13,1,1,1,1
82,65,0.0,0.768293,1,6,19,1,1,4,2,1,1,1,1,1,6,2,2,11,6,2,2,2,13,1,1,1,1
102,37,0.009804,0.686275,1,12,30,1,4,7,7,1,1,1,4,2,6,2,2,11,6,2,2,2,13,1,1,1,1
101,37,0.009901,0.70297,1,10,28,1,3,6,7,1,1,1,1,5,6,2,2,11,6,2,2,2,13,1,1,1,1
49,12,0.0,0.367347,1,2,30,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
47,40,0.06383,0.702128,1,2,11,2,2,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
40,24,0.0,0.65,1,4,14,2,2,1,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
41,0,0.146341,0.536585,0,0,13,1,2,5,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1
